戏曲电影,#genre#
五月的鲜花,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/84fc7c89a9dc4699ab0b7f3a7ed50ffe/main.m3u8?maxbr=2048
围头新娘,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/6fed8366b6244d0baa91027aadf88d8c/main.m3u8?maxbr=2048
罗帕记,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/78b32c7933a0438ba748e1acac9d7901/main.m3u8?maxbr=2048
打花鼓,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/7c6425fd168f4a8cbf4bfdcedbe84f04/main.m3u8?maxbr=2048
新九品芝麻官,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/a851d3ee7be7449bbc21823944230aa4/main.m3u8?maxbr=2048
天仙配,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/969c6c17b8a34553b3a20dff713109cc/main.m3u8?maxbr=2048
枫叶如花,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/e3420baa9af04b7a81b793ad3dd21840/main.m3u8?maxbr=2048
金山江畔,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/12a5230ea6f14d4d974c345cee070c9b/main.m3u8?maxbr=2048
朝阳沟,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/556615696b004c5cb2b303ccb763d676/main.m3u8?maxbr=2048
烈火中重生,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/875d83549ff341a0aeaa55311c1d25ae/main.m3u8?maxbr=2048
推车赶会,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/e9fb2bae92144101b0a553cb5f1b755e/main.m3u8?maxbr=2048
三打金枝,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/f7255ffbc6d54129b4c0196634e5af27/main.m3u8?maxbr=2048
夫妻观灯,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/9fe1612973a74c46985a7d0118dfffa5/main.m3u8?maxbr=2048
红梅记,https://hls.cntv.lxdns.com/asp/hls/main/0303000a/3/default/78534ecec2d24d08b228cd2bce756b08/main.m3u8?maxbr=2048
皮秀英,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/f69fa6a8d6f240169b9cf7e5788b901d/main.m3u8?maxbr=2048
富贵图,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/6d655a85838649e8a81efd81a0de944a/main.m3u8?maxbr=2048
梁山伯与祝英台,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/dc2d86f623134074b912ffb11a73a2ae/main.m3u8?maxbr=2048
牛郎织女,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/c5b0075ce5b841b19b143a8065422ae6/main.m3u8?maxbr=2048
做文章,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/4981e2c9077c49c4b5f240fbfeee310d/main.m3u8?maxbr=2048
大脚皇后,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/b243caa3e24a4ff18c73e36c8e26ee81/main.m3u8?maxbr=2048
孙成打酒,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/8f6f804cd96d43d484ef5decddc08aff/main.m3u8?maxbr=2048


五岩山,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/c8d49a4313254e83ab798a282dc0984c/main.m3u8?maxbr=2048
墙头记,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/88c4a5afeea34a7e8b056b4aea5ede44/main.m3u8?maxbr=2048
小女婿,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/5a8162c862c645ecbd4fda6dac6b4b32/main.m3u8?maxbr=2048
唐知县放粮,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/015eb0e834984deab56718f400064025/main.m3u8?maxbr=2048
山花灿烂,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/298ab294ec6549faa2f87c6032f2773c/main.m3u8?maxbr=2048
遍地月光,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/e79348d398354bbc8cb38d8b16cd064a/main.m3u8?maxbr=2048
紫砂梦,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/d4a9ea83eb544f46b12edeb3ed5541d5/main.m3u8?maxbr=2048
奄堂认母,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/929939b53d7d496086b75ec6955b898d/main.m3u8?maxbr=2048
珍珠塔,https://hls.cntv.lxdns.com/asp/hls/main/0303000a/3/default/74c7e9e4377f45fca8f3073c06f69839/main.m3u8?maxbr=2048
革命家庭,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/3e77061da17c41c5a208f4c4598f3b4c/main.m3u8?maxbr=2048
党的女儿,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/51dbeddba243414d8ebfd68ea68e2658/main.m3u8?maxbr=2048
五月的鲜花,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/84fc7c89a9dc4699ab0b7f3a7ed50ffe/main.m3u8?maxbr=2048
围头新娘,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/6fed8366b6244d0baa91027aadf88d8c/main.m3u8?maxbr=2048
罗帕记,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/78b32c7933a0438ba748e1acac9d7901/main.m3u8?maxbr=2048
打花鼓,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/7c6425fd168f4a8cbf4bfdcedbe84f04/main.m3u8?maxbr=2048
新九品芝麻官,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/a851d3ee7be7449bbc21823944230aa4/main.m3u8?maxbr=2048
天仙配,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/969c6c17b8a34553b3a20dff713109cc/main.m3u8?maxbr=2048
枫叶如花,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/e3420baa9af04b7a81b793ad3dd21840/main.m3u8?maxbr=2048
金山江畔,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/12a5230ea6f14d4d974c345cee070c9b/main.m3u8?maxbr=2048
朝阳沟,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/556615696b004c5cb2b303ccb763d676/main.m3u8?maxbr=2048
烈火中重生,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/875d83549ff341a0aeaa55311c1d25ae/main.m3u8?maxbr=2048
推车赶会,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/e9fb2bae92144101b0a553cb5f1b755e/main.m3u8?maxbr=2048
三打金枝,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/f7255ffbc6d54129b4c0196634e5af27/main.m3u8?maxbr=2048
夫妻观灯,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/9fe1612973a74c46985a7d0118dfffa5/main.m3u8?maxbr=2048
红梅记,https://hls.cntv.lxdns.com/asp/hls/main/0303000a/3/default/78534ecec2d24d08b228cd2bce756b08/main.m3u8?maxbr=2048
皮秀英,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/f69fa6a8d6f240169b9cf7e5788b901d/main.m3u8?maxbr=2048
富贵图,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/6d655a85838649e8a81efd81a0de944a/main.m3u8?maxbr=2048
梁山伯与祝英台,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/dc2d86f623134074b912ffb11a73a2ae/main.m3u8?maxbr=2048
牛郎织女,https://hls.cntv.kcdnvip.com/asp/hls/main/0303000a/3/default/c5b0075ce5b841b19b143a8065422ae6/main.m3u8?maxbr=2048
做文章,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/4981e2c9077c49c4b5f240fbfeee310d/main.m3u8?maxbr=2048
大脚皇后,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/b243caa3e24a4ff18c73e36c8e26ee81/main.m3u8?maxbr=2048
孙成打酒,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/8f6f804cd96d43d484ef5decddc08aff/main.m3u8?maxbr=2048

